Sr.	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
permanentes.	-0.002323
radiactivos.	-0.002329
Dinero.	-0.002332
Monroe.	-0.002332
rábano.	-0.002332
preventivas.	-0.002333
prioritaria.	-0.002336
restaurar.	-0.002340
Šefčovič.	-0.002343
Miranda.	-0.002348
prohibidos.	-0.002355
grupo.	-0.002359
territorios.	-0.002362
abjasio.	-0.002369
mecanismo.	-0.002369
Seychelles.	-0.002369
periféricas.	-0.002369
comodidad.	-0.002370
Harrison.	-0.002371
gratuitas.	-0.002372
enérgico.	-0.002375
influencia.	-0.002380
probarlo.	-0.002382
neoliberal.	-0.002384
integración.	-0.002392
libaneses.	-0.002394
bonitos.	-0.002395
afirmativa.	-0.002396
navegables.	-0.002400
funcionado.	-0.002414
Sheikh.	-0.002418
informado.	-0.002425
pirámide.	-0.002428
indirectos.	-0.002430
vigilancia.	-0.002436
carreras.	-0.002436
automática.	-0.002437
perfectos.	-0.002439
Bourlanges.	-0.002442
lingüística.	-0.002445
electricidad.	-0.002447
disculpe.	-0.002450
mediadora.	-0.002463
Graenitz.	-0.002464
continuar.	-0.002465
actividades.	-0.002473
abonar.	-0.002475
voluntarios.	-0.002478
Suffolk.	-0.002480
contenidos.	-0.002486
empresarios.	-0.002487
excedentes.	-0.002491
exhaustivo.	-0.002495
cuentos.	-0.002496
provechoso.	-0.002500
ciertamente.	-0.002501
obstáculo.	-0.002502
Milósevic.	-0.002504
regímenes.	-0.002504
conseguido.	-0.002513
industriales.	-0.002514
perversa.	-0.002515
reaccionar.	-0.002520
transitorio.	-0.002524
lucrativa.	-0.002531
provecho.	-0.002531
racionales.	-0.002542
inaceptables.	-0.002566
Illinois.	-0.002566
cuándo.	-0.002568
tratarlo.	-0.002571
THERMIE.	-0.002573
eliminado.	-0.002581
banqueros.	-0.002585
particulares.	-0.002586
acuicultura.	-0.002588
ocurre.	-0.002591
conducción.	-0.002594
salariales.	-0.002601
desaparecer.	-0.002603
parecer.	-0.002608
bajado.	-0.002613
cigarrillos.	-0.002617
Nucleares.	-0.002619
vertedero.	-0.002619
prioritario.	-0.002623
Tayikistán.	-0.002626
opinión.	-0.002627
impresión.	-0.002635
Comisaria.	-0.002641
frecuentes.	-0.002645
universales.	-0.002645
protocolo.	-0.002646
manejable.	-0.002647
Sassoli.	-0.002648
rodando.	-0.002648
equilibrio.	-0.002650
infundado.	-0.002654
mencionó.	-0.002658
austeridad.	-0.002668
provisional.	-0.002669
aplicado.	-0.002675
observación.	-0.002676
rúbrica.	-0.002681
logrados.	-0.002685
flexibilidad.	-0.002691
coartada.	-0.002692
previstas.	-0.002695
indebido.	-0.002696
eslovacos.	-0.002701
factores.	-0.002704
obstáculos.	-0.002713
tecnológica.	-0.002713
parlamento.	-0.002714
circulación.	-0.002730
convencido.	-0.002733
celebrado.	-0.002734
detallado.	-0.002735
exclusión.	-0.002737
Vilvoorde.	-0.002739
óvulo.	-0.002747
perfectas.	-0.002754
decisoria.	-0.002757
transacción.	-0.002766
mandarín.	-0.002769
presentado.	-0.002770
preocupación.	-0.002779
entiendo.	-0.002779
dificultades.	-0.002779
implican.	-0.002786
Nueve.	-0.002789
constructiva.	-0.002789
inequívoca.	-0.002789
tarjeta.	-0.002790
inmediatos.	-0.002797
negociaciones.	-0.002797
erosión.	-0.002808
título.	-0.002810
formalidad.	-0.002814
portuarias.	-0.002815
Yúschenko.	-0.002818
festivo.	-0.002818
kilómetros.	-0.002821
argelinas.	-0.002821
preadhesión.	-0.002828
innovadores.	-0.002836
compañías.	-0.002840
apuesta.	-0.002840
Schaffner.	-0.002844
visitantes.	-0.002845
monetarias.	-0.002846
esfuerzos.	-0.002848
dactilares.	-0.002854
enmarca.	-0.002856
Occidentales.	-0.002867
carrera.	-0.002870
superiores.	-0.002883
mencionados.	-0.002886
promueve.	-0.002893
suministro.	-0.002905
excepciones.	-0.002906
esperando.	-0.002906
vacunación.	-0.002911
fiscalidad.	-0.002911
brujería.	-0.002919
crearlos.	-0.002919
mensaje.	-0.002920
escuchan.	-0.002924
mediación.	-0.002924
temidos.	-0.002925
Stenmarck.	-0.002929
productores.	-0.002930
Granada.	-0.002933
trazada.	-0.002933
conformidad.	-0.002939
energéticas.	-0.002941
actualmente.	-0.002942
alternativas.	-0.002947
suprimida.	-0.002956
trabajado.	-0.002957
fiesta.	-0.002960
plantean.	-0.002960
ponencia.	-0.002965
confección.	-0.002973
bienvenida.	-0.002974
católicos.	-0.002974
conservar.	-0.002976
diversidad.	-0.002984
Zapatero.	-0.002984
discapacidad.	-0.002992
dialogar.	-0.002994
polémicas.	-0.002995
ciclistas.	-0.003000
peticiones.	-0.003002
finalizar.	-0.003006
audiovisual.	-0.003013
longitud.	-0.003015
zarpado.	-0.003016
acusación.	-0.003017
micrófono.	-0.003017
engañemos.	-0.003018
aplicadas.	-0.003025
drástico.	-0.003030
agricultores.	-0.003031
generosos.	-0.003036
fuere.	-0.003037
sorpresas.	-0.003041
estructurales.	-0.003046
pragmática.	-0.003060
ampliados.	-0.003060
discutible.	-0.003065
acervo.	-0.003065
cumplidos.	-0.003066
intervención.	-0.003072
olvida.	-0.003075
Dirección.	-0.003075
asesinato.	-0.003086
consultas.	-0.003087
cede.	-0.003101
emigración.	-0.003105
tacógrafo.	-0.003108
moderados.	-0.003109
laxistas.	-0.003111
paneuropeo.	-0.003114
coyuntura.	-0.003124
fábricas.	-0.003125
autocares.	-0.003125
mataderos.	-0.003127
innovadoras.	-0.003127
incompleta.	-0.003129
revelador.	-0.003131
acarrea.	-0.003140
Ancona.	-0.003143
transparencia.	-0.003143
catástrofes.	-0.003144
combustible.	-0.003148
nobles.	-0.003149
ODYSSEUS.	-0.003154
Italiana.	-0.003166
estabilidad.	-0.003189
ofensiva.	-0.003194
parangón.	-0.003194
proteínas.	-0.003201
estragos.	-0.003212
recibido.	-0.003216
concepto.	-0.003218
confiada.	-0.003224
respaldo.	-0.003225
Madagascar.	-0.003230
intolerable.	-0.003234
Mozambique.	-0.003238
bienvenido.	-0.003242
orientales.	-0.003243
conciencia.	-0.003255
sabiduría.	-0.003268
subastas.	-0.003271
obligatorio.	-0.003271
Mauritania.	-0.003274
atractivo.	-0.003276
Gollnisch.	-0.003280
vigilante.	-0.003280
masculina.	-0.003281
redacción.	-0.003286
sanitarias.	-0.003293
libra.	-0.003322
existen.	-0.003324
ganador.	-0.003325
maestría.	-0.003329
protegido.	-0.003333
ignorada.	-0.003343
premisas.	-0.003347
reinante.	-0.003368
persigue.	-0.003370
sindicales.	-0.003384
recetas.	-0.003389
selección.	-0.003393
aplicable.	-0.003409
blanqueo.	-0.003413
Kirguistán.	-0.003417
Antártico.	-0.003417
entenderlo.	-0.003425
migratorios.	-0.003431
escuchada.	-0.003440
palestinas.	-0.003441
implicado.	-0.003442
impacto.	-0.003447
agravarse.	-0.003450
globalizado.	-0.003452
poderosos.	-0.003457
creer.	-0.003458
finanzas.	-0.003460
servido.	-0.003461
tolerable.	-0.003462
eléctricos.	-0.003462
freno.	-0.003463
Caracas.	-0.003469
festivos.	-0.003470
bloqueado.	-0.003470
esperada.	-0.003472
padece.	-0.003474
excelentes.	-0.003481
innecesaria.	-0.003482
estupendo.	-0.003483
compromisos.	-0.003498
preventivo.	-0.003499
cuadro.	-0.003504
Herzegovina.	-0.003519
ilegalidad.	-0.003524
prohibido.	-0.003531
ayudarla.	-0.003533
federados.	-0.003535
retener.	-0.003537
llegada.	-0.003543
continentes.	-0.003544
enfoques.	-0.003555
pagan.	-0.003557
financiación.	-0.003557
perdure.	-0.003566
mecanismos.	-0.003570
Termino.	-0.003579
relojería.	-0.003580
potencia.	-0.003586
Heinisch.	-0.003588
fronterizas.	-0.003590
esfuerzo.	-0.003595
scouts.	-0.003599
enough.	-0.003599
orgánicos.	-0.003599
finalmente.	-0.003607
inminente.	-0.003609
protegidas.	-0.003611
probado.	-0.003615
geográfico.	-0.003616
asistentes.	-0.003621
agresión.	-0.003632
controlada.	-0.003633
profundidad.	-0.003636
actuado.	-0.003646
meditado.	-0.003650
equívoco.	-0.003650
numeroso.	-0.003650
pesimismo.	-0.003651
imparable.	-0.003661
Instancia.	-0.003672
modificado.	-0.003673
tonterías.	-0.003674
solteras.	-0.003675
intermedia.	-0.003680
salvación.	-0.003681
funcionen.	-0.003688
Limerick.	-0.003698
protesto.	-0.003698
secundario.	-0.003698
análogo.	-0.003698
cooperación.	-0.003703
funesta.	-0.003705
repetidas.	-0.003718
inteligente.	-0.003720
duplicado.	-0.003722
corregido.	-0.003734
vergonzoso.	-0.003737
costumbre.	-0.003742
Córcega.	-0.003744
brevemente.	-0.003746
ruidosas.	-0.003747
concesión.	-0.003752
corruptas.	-0.003754
Sellafield.	-0.003755
expuesto.	-0.003761
Presidentes.	-0.003765
imperios.	-0.003773
aprendiz.	-0.003773
plaguicidas.	-0.003774
vertederos.	-0.003775
repugna.	-0.003804
sumaria.	-0.003804
extremismo.	-0.003809
deplorable.	-0.003815
biológicas.	-0.003819
progrese.	-0.003819
grandeza.	-0.003827
Pelttari.	-0.003835
objeciones.	-0.003841
debatirla.	-0.003850
actores.	-0.003854
monopolios.	-0.003854
dificultad.	-0.003855
montañosas.	-0.003855
retirada.	-0.003863
legislador.	-0.003866
relevancia.	-0.003872
reducirlo.	-0.003876
comunistas.	-0.003879
caóticas.	-0.003885
alternativa.	-0.003885
sintéticas.	-0.003888
tranquilo.	-0.003893
consultivo.	-0.003894
Pireo.	-0.003904
lápiz.	-0.003904
asesinados.	-0.003916
terrestres.	-0.003916
Inversiones.	-0.003928
contestar.	-0.003932
hará.	-0.003934
ambos.	-0.003935
diamantes.	-0.003942
señales.	-0.003944
Goebbels.	-0.003947
autoridades.	-0.003948
lineales.	-0.003951
ocurriendo.	-0.003952
creencias.	-0.003953
imaginar.	-0.003958
encomiable.	-0.003959
comité.	-0.003964
británicas.	-0.003965
Lanotte.	-0.003967
Carraro.	-0.003972
truco.	-0.003974
Bagram.	-0.003975
Kosice.	-0.003975
necias.	-0.003975
NATURA.	-0.003986
cárnico.	-0.003996
Sáhara.	-0.004002
Linden.	-0.004003
tasado.	-0.004003
Airlines.	-0.004017
ascensor.	-0.004017
respetar.	-0.004019
negamos.	-0.004020
Wieland.	-0.004030
alianza.	-0.004031
prometedor.	-0.004041
subsistir.	-0.004050
juristas.	-0.004055
mandatos.	-0.004061
exagerado.	-0.004091
esperaba.	-0.004092
finlandés.	-0.004093
franqueza.	-0.004095
callarse.	-0.004097
Contacto.	-0.004098
seguirla.	-0.004099
fronterizos.	-0.004108
igualdad.	-0.004113
inversiones.	-0.004117
medicinas.	-0.004119
Tecnología.	-0.004119
organismo.	-0.004121
ampliado.	-0.004126
Cumbre.	-0.004127
FISCALIS.	-0.004133
operan.	-0.004134
hundido.	-0.004138
Rotterdam.	-0.004164
bicicleta.	-0.004169
respetarse.	-0.004183
automóviles.	-0.004195
consiguiente.	-0.004201
simplista.	-0.004203
policiales.	-0.004211
aclarar.	-0.004211
Katiforis.	-0.004212
nocturnos.	-0.004214
pudieron.	-0.004240
coherencia.	-0.004249
materiales.	-0.004252
operativas.	-0.004252
civilizada.	-0.004258
Wallström.	-0.004265
primordial.	-0.004271
buscaba.	-0.004284
cumplidas.	-0.004285
empatía.	-0.004289
nórdicas.	-0.004289
poderes.	-0.004298
artificial.	-0.004302
competentes.	-0.004302
Fuster.	-0.004308
dijimos.	-0.004311
astuto.	-0.004314
conciliación.	-0.004331
legislar.	-0.004332
enfrentamos.	-0.004339
resolverse.	-0.004346
cantante.	-0.004376
mafiosas.	-0.004376
Residuos.	-0.004378
tecnologías.	-0.004381
Harwich.	-0.004387
cuerpo.	-0.004397
conductor.	-0.004398
humanitario.	-0.004401
superar.	-0.004412
infundada.	-0.004413
Verheugen.	-0.004416
anuladas.	-0.004417
florines.	-0.004427
amenazas.	-0.004428
latentes.	-0.004444
aplicación.	-0.004446
electorales.	-0.004446
científicos.	-0.004451
paralela.	-0.004458
Bardong.	-0.004463
destinados.	-0.004485
domicilio.	-0.004490
profunda.	-0.004499
convención.	-0.004501
espinas.	-0.004506
placebo.	-0.004506
voluntad.	-0.004510
leerlas.	-0.004518
fetiche.	-0.004518
minerales.	-0.004520
nefastas.	-0.004541
sucediendo.	-0.004542
ambiciosas.	-0.004542
pesticidas.	-0.004542
regulación.	-0.004551
Público.	-0.004561
Davignon.	-0.004564
sindicatos.	-0.004566
aprobadas.	-0.004568
Interiores.	-0.004571
desventaja.	-0.004584
suspender.	-0.004589
temáticos.	-0.004590
formados.	-0.004591
ambientales.	-0.004596
normas.	-0.004603
cómplices.	-0.004610
crecí.	-0.004610
Klute.	-0.004610
pequeñas.	-0.004616
controles.	-0.004617
anciana.	-0.004626
Eurogrupo.	-0.004637
perdedores.	-0.004639
premio.	-0.004643
semejantes.	-0.004650
promoción.	-0.004652
competitivo.	-0.004662
doble.	-0.004669
aquello.	-0.004673
General.	-0.004673
lactancia.	-0.004694
neerlandés.	-0.004699
electrónica.	-0.004703
coordinar.	-0.004712
bilaterales.	-0.004717
respetada.	-0.004721
moratoria.	-0.004729
educativos.	-0.004733
tropicales.	-0.004741
miden.	-0.004746
laxismo.	-0.004761
terminar.	-0.004769
solemnes.	-0.004770
receptores.	-0.004798
dramático.	-0.004807
fallando.	-0.004809
intenciones.	-0.004815
anticipada.	-0.004817
condición.	-0.004817
decisorio.	-0.004829
tribunas.	-0.004831
Atkins.	-0.004835
sinceros.	-0.004845
democráticos.	-0.004852
nitrógeno.	-0.004854
Francesa.	-0.004855
fracasan.	-0.004866
alegre.	-0.004869
suplente.	-0.004870
alevines.	-0.004875
soberanía.	-0.004878
calendario.	-0.004886
ventajas.	-0.004898
transparente.	-0.004899
dimisión.	-0.004902
autónomas.	-0.004902
inferior.	-0.004902
Andrews.	-0.004903
notarios.	-0.004915
horizontal.	-0.004916
síntesis.	-0.004919
crecimiento.	-0.004919
buenos.	-0.004932
tremendo.	-0.004939
Auto-Oil.	-0.004947
debilidad.	-0.004951
traducción.	-0.004955
hortalizas.	-0.004964
autobuses.	-0.004981
amenaza.	-0.004984
falsedad.	-0.004986
perdurar.	-0.004986
centrales.	-0.004992
contentos.	-0.004998
religiones.	-0.005001
emociones.	-0.005008
referendos.	-0.005009
mercantil.	-0.005017
idénticos.	-0.005017
ineficaces.	-0.005017
liberales.	-0.005018
ucraniana.	-0.005022
municipal.	-0.005037
Decisión.	-0.005038
refiere.	-0.005038
contacto.	-0.005039
insólito.	-0.005048
insuficiente.	-0.005058
resueltas.	-0.005062
procesales.	-0.005072
convence.	-0.005085
favorables.	-0.005086
engañe.	-0.005088
democráticas.	-0.005093
pedofilia.	-0.005105
consigo.	-0.005110
apelación.	-0.005110
temporales.	-0.005110
Pompidou.	-0.005116
moldova.	-0.005128
vacaciones.	-0.005128
Fraisse.	-0.005132
acordadas.	-0.005138
potencial.	-0.005140
consuelo.	-0.005145
Acuerdo.	-0.005151
británicos.	-0.005171
intención.	-0.005179
xenófobos.	-0.005196
prematuro.	-0.005198
Azerbaiyán.	-0.005200
prohibir.	-0.005205
totalmente.	-0.005207
valoro.	-0.005212
neutrales.	-0.005232
demostrado.	-0.005234
incremento.	-0.005237
siguientes.	-0.005240
consumado.	-0.005254
estudios.	-0.005257
individuales.	-0.005264
aprobado.	-0.005268
parciales.	-0.005269
Goteburgo.	-0.005269
saludables.	-0.005288
previsible.	-0.005289
oscuridad.	-0.005300
operador.	-0.005312
Inglaterra.	-0.005320
religiosos.	-0.005321
perdedor.	-0.005325
discreto.	-0.005325
máquinas.	-0.005347
respirar.	-0.005350
idénticas.	-0.005366
interina.	-0.005373
pesimista.	-0.005373
carencias.	-0.005378
funcionará.	-0.005388
interesados.	-0.005397
Turku.	-0.005418
decida.	-0.005425
entradas.	-0.005437
irlandeses.	-0.005447
aeropuertos.	-0.005449
enfoque.	-0.005457
aliadas.	-0.005458
gallega.	-0.005458
apoyamos.	-0.005478
marcos.	-0.005480
extranjeros.	-0.005480
meridional.	-0.005482
vinculantes.	-0.005508
psíquica.	-0.005518
decisivos.	-0.005522
tarifas.	-0.005522
bomberos.	-0.005525
marcado.	-0.005535
esclavitud.	-0.005537
hice.	-0.005547
sagrados.	-0.005548
ilimitada.	-0.005552
Monetarios.	-0.005562
planta.	-0.005562
acordados.	-0.005581
agradecer.	-0.005583
Tomlinson.	-0.005592
orgullosos.	-0.005599
obsoletas.	-0.005602
kosovares.	-0.005612
Kaesong.	-0.005617
victoria.	-0.005622
termina.	-0.005628
geográfica.	-0.005640
Gobiernos.	-0.005651
continuo.	-0.005669
gobiernos.	-0.005671
superfluo.	-0.005678
cotidianas.	-0.005683
responsable.	-0.005692
prosperidad.	-0.005696
televisión.	-0.005700
modificada.	-0.005702
respete.	-0.005703
inadecuada.	-0.005710
disparate.	-0.005715
ferroviario.	-0.005720
protección.	-0.005720
aceptarlo.	-0.005753
Constitución.	-0.005763
auditoría.	-0.005774
reciclaje.	-0.005813
influir.	-0.005837
injusticia.	-0.005843
olvidada.	-0.005844
Oriente.	-0.005846
expresado.	-0.005852
simpatía.	-0.005855
Bolkestein.	-0.005856
Bangemann.	-0.005864
cosméticos.	-0.005872
pintura.	-0.005873
regimos.	-0.005890
inadmisible.	-0.005896
transportes.	-0.005904
directivas.	-0.005915
indigno.	-0.005929
zapatos.	-0.005929
estatuto.	-0.005935
lucrativo.	-0.005946
Estado.	-0.005953
populismo.	-0.005957
variedad.	-0.005958
comunicación.	-0.005975
Schmitt.	-0.005990
mezclas.	-0.005990
milenios.	-0.005993
hindúes.	-0.005994
operativos.	-0.005997
uniformes.	-0.006012
impulso.	-0.006015
apoyarle.	-0.006022
Reina.	-0.006031
bulimia.	-0.006033
readmisión.	-0.006038
deportivo.	-0.006044
sentado.	-0.006062
comentarios.	-0.006066
Marshall.	-0.006082
soberanas.	-0.006099
enseguida.	-0.006102
unificado.	-0.006112
legislación.	-0.006144
demasiado.	-0.006144
Gasperi.	-0.006145
preventiva.	-0.006145
repetirlo.	-0.006159
chechenos.	-0.006177
competitiva.	-0.006180
Ngoc.	-0.006187
tutela.	-0.006192
parecidas.	-0.006202
exportación.	-0.006208
aceptar.	-0.006208
Spinelli.	-0.006214
flagelo.	-0.006224
penuria.	-0.006224
categoría.	-0.006227
pantalla.	-0.006244
fundamentales.	-0.006248
liderazgo.	-0.006249
aplique.	-0.006249
inseguro.	-0.006262
huérfanos.	-0.006265
rechazadas.	-0.006282
imperial.	-0.006309
Söderman.	-0.006311
regalo.	-0.006317
justificada.	-0.006325
liberados.	-0.006330
Argentina.	-0.006330
Nurit.	-0.006338
legítimas.	-0.006347
austríaco.	-0.006350
termino.	-0.006351
precedentes.	-0.006361
dudan.	-0.006368
objeción.	-0.006370
olvidarlo.	-0.006371
Edimburgo.	-0.006372
bendita.	-0.006373
prevención.	-0.006396
inclusión.	-0.006397
Monterrey.	-0.006399
unilateral.	-0.006401
escuche.	-0.006410
emitidos.	-0.006422
programas.	-0.006431
embrión.	-0.006433
espanto.	-0.006452
cristiano.	-0.006461
americanos.	-0.006465
funcional.	-0.006465
celebrar.	-0.006505
Salvador.	-0.006505
Guatemala.	-0.006506
motores.	-0.006512
causan.	-0.006525
cambien.	-0.006529
parecidos.	-0.006529
serias.	-0.006530
invertir.	-0.006534
aclaración.	-0.006551
ejecutiva.	-0.006555
conseguirlo.	-0.006560
esperanzas.	-0.006579
biológico.	-0.006584
Bertens.	-0.006585
gobernanza.	-0.006590
propósito.	-0.006596
interesante.	-0.006602
homofobia.	-0.006606
recortes.	-0.006625
dolorosa.	-0.006627
territorial.	-0.006627
productivo.	-0.006635
libremente.	-0.006646
Carta.	-0.006653
exigidos.	-0.006658
defecto.	-0.006659
preocupan.	-0.006674
importados.	-0.006681
cadena.	-0.006685
licencias.	-0.006687
cargado.	-0.006691
Molitor.	-0.006698
soluciones.	-0.006702
prohibida.	-0.006709
Interreg.	-0.006711
informada.	-0.006712
publicidad.	-0.006732
bello.	-0.006733
aumentando.	-0.006751
continúa.	-0.006768
creativas.	-0.006775
terrestre.	-0.006777
apropiados.	-0.006805
alta.	-0.006813
inmigrantes.	-0.006835
hipocresía.	-0.006836
infracción.	-0.006836
Señores.	-0.006859
Agencias.	-0.006872
trabajan.	-0.006884
principio.	-0.006893
instantes.	-0.006895
anticuada.	-0.006908
perdiendo.	-0.006911
alarmantes.	-0.006916
representa.	-0.006919
verduras.	-0.006925
báltico.	-0.006938
clases.	-0.006948
Whitehead.	-0.006954
electorado.	-0.006968
índices.	-0.006982
considerar.	-0.006986
nórdico.	-0.006989
centrarse.	-0.006993
gustar.	-0.006995
Schlyter.	-0.007000
Filipinas.	-0.007001
combates.	-0.007008
italianas.	-0.007041
abuelo.	-0.007066
respeta.	-0.007068
represión.	-0.007075
admite.	-0.007100
equipos.	-0.007104
coordinada.	-0.007139
completos.	-0.007144
intenso.	-0.007163
decepción.	-0.007165
Políticos.	-0.007166
Funke.	-0.007169
productor.	-0.007171
sostenibles.	-0.007183
autonomía.	-0.007185
espera.	-0.007185
cárteles.	-0.007186
enormes.	-0.007190
viviendas.	-0.007192
Simpson.	-0.007194
González.	-0.007196
iudice.	-0.007197
Ciller.	-0.007197
Crecimiento.	-0.007205
encuentran.	-0.007208
exitosas.	-0.007209
institución.	-0.007212
residuo.	-0.007216
Tillich.	-0.007219
increíble.	-0.007253
intervenir.	-0.007259
españoles.	-0.007269
odiosos.	-0.007271
cercana.	-0.007275
definitiva.	-0.007302
liberado.	-0.007326
constatar.	-0.007332
expulsión.	-0.007336
delictiva.	-0.007342
específicas.	-0.007360
contraria.	-0.007360
Elsinor.	-0.007362
dramática.	-0.007376
bruma.	-0.007381
Sócrates.	-0.007391
comisiones.	-0.007392
inercia.	-0.007396
Chernobil.	-0.007403
voluntario.	-0.007411
contiene.	-0.007418
ferrocarril.	-0.007426
Alvarez.	-0.007462
ambiciones.	-0.007476
modificar.	-0.007477
Stewart.	-0.007481
precedente.	-0.007484
Exteriores.	-0.007487
inversores.	-0.007506
llave.	-0.007525
cesado.	-0.007542
servicio.	-0.007562
líquido.	-0.007588
tajante.	-0.007610
portuguesa.	-0.007634
Bébéar.	-0.007635
Sydney.	-0.007635
compartida.	-0.007644
medir.	-0.007646
apretado.	-0.007664
diabetes.	-0.007671
detallada.	-0.007679
tratarse.	-0.007684
inmenso.	-0.007697
embriones.	-0.007703
trabajar.	-0.007703
estanca.	-0.007719
científico.	-0.007744
franceses.	-0.007760
estructural.	-0.007760
pasarela.	-0.007779
sistema.	-0.007807
árido.	-0.007807
formulado.	-0.007819
variadas.	-0.007843
Nicolaï.	-0.007843
cannabis.	-0.007853
presente.	-0.007861
equilibrada.	-0.007884
conforme.	-0.007893
cometa.	-0.007912
imagen.	-0.007921
rigurosas.	-0.007931
McIntosh.	-0.007938
negociar.	-0.007969
piedra.	-0.007978
colectivos.	-0.007991
oración.	-0.007992
artistas.	-0.008000
españolas.	-0.008004
intensiva.	-0.008005
aceras.	-0.008005
clavos.	-0.008005
agradable.	-0.008035
valientes.	-0.008046
respuestas.	-0.008053
comunitarios.	-0.008055
realmente.	-0.008069
Campania.	-0.008074
ocupación.	-0.008100
semillas.	-0.008123
apoyarlas.	-0.008145
comenzar.	-0.008147
vendedor.	-0.008149
demagogia.	-0.008150
despidos.	-0.008151
Humanidad.	-0.008153
específicos.	-0.008177
equivocan.	-0.008193
Comisarios.	-0.008200
préstamos.	-0.008209
coreanos.	-0.008210
semejante.	-0.008234
retroceso.	-0.008234
transición.	-0.008252
accidentes.	-0.008285
coherentes.	-0.008292
emplear.	-0.008304
atenerse.	-0.008309
cualificada.	-0.008311
salvado.	-0.008318
ucranios.	-0.008326
incluidos.	-0.008340
Nisticò.	-0.008342
etiqueta.	-0.008357
pescadores.	-0.008371
presenta.	-0.008380
católica.	-0.008388
eficientes.	-0.008389
mencionado.	-0.008418
Xinjiang.	-0.008422
Echerer.	-0.008427
específica.	-0.008428
terremoto.	-0.008448
fetales.	-0.008455
sucesos.	-0.008490
grato.	-0.008495
simbólico.	-0.008503
Moore.	-0.008545
Moldavia.	-0.008548
Center.	-0.008560
ganaderos.	-0.008597
Jerusalén.	-0.008623
innovador.	-0.008628
austriaca.	-0.008668
firman.	-0.008676
tejidos.	-0.008686
olvidado.	-0.008700
Mediterráneo.	-0.008708
turística.	-0.008709
comedia.	-0.008712
trágico.	-0.008721
Eslovaquia.	-0.008727
ecológicas.	-0.008732
atractiva.	-0.008742
equilibrado.	-0.008749
Jesús.	-0.008755
Vieira.	-0.008762
inversor.	-0.008767
callados.	-0.008778
obtenidos.	-0.008783
aceptarla.	-0.008788
consumen.	-0.008791
armenios.	-0.008813
reducidas.	-0.008816
Wiebenga.	-0.008821
seguido.	-0.008825
ecuánime.	-0.008827
específico.	-0.008829
actitud.	-0.008842
electrónico.	-0.008857
colegas.	-0.008872
decisivas.	-0.008901
violento.	-0.008911
legislatura.	-0.008912
CEDEFOP.	-0.008931
Leonardo.	-0.008936
pendiente.	-0.008952
soportar.	-0.008955
soviética.	-0.008960
masacres.	-0.008969
tándem.	-0.008971
viajar.	-0.008994
decirse.	-0.009008
actividad.	-0.009040
baronesa.	-0.009040
Donnelly.	-0.009059
hecha.	-0.009077
comprobar.	-0.009107
etiquetado.	-0.009107
cotidiano.	-0.009111
esperados.	-0.009112
austríaca.	-0.009123
Alemana.	-0.009141
Gotemburgo.	-0.009148
comitología.	-0.009175
comunitarias.	-0.009180
ilícitos.	-0.009184
excluido.	-0.009186
abordar.	-0.009191
interesadas.	-0.009225
saharaui.	-0.009238
exigentes.	-0.009257
trabajadores.	-0.009258
migrantes.	-0.009303
emergentes.	-0.009309
renovada.	-0.009313
preguntar.	-0.009319
generación.	-0.009329
admisible.	-0.009347
fundadas.	-0.009354
deportes.	-0.009383
hablamos.	-0.009389
evidente.	-0.009408
parecido.	-0.009427
alpinas.	-0.009432
estudio.	-0.009457
ayudarles.	-0.009457
inmunidad.	-0.009468
Frassoni.	-0.009500
empresarial.	-0.009518
intereses.	-0.009559
defensiva.	-0.009586
perdido.	-0.009606
inevitable.	-0.009610
excesivas.	-0.009614
amenazado.	-0.009636
particular.	-0.009644
suficientes.	-0.009645
vulnerables.	-0.009651
Civiles.	-0.009651
prepare.	-0.009670
dimensión.	-0.009672
adeptos.	-0.009750
educativa.	-0.009758
haciendo.	-0.009763
mimar.	-0.009782
preocupante.	-0.009820
resolver.	-0.009825
noticias.	-0.009848
distintas.	-0.009854
dirá.	-0.009896
Añadido.	-0.009906
documentos.	-0.009912
componen.	-0.009927
curioso.	-0.009941
marchado.	-0.009954
euforia.	-0.009979
Peticiones.	-0.010005
triunfar.	-0.010007
merecía.	-0.010008
aquél.	-0.010028
prontitud.	-0.010031
cooperar.	-0.010037
licencia.	-0.010043
hipócrita.	-0.010044
Consumidor.	-0.010049
Alonso.	-0.010071
cuento.	-0.010072
fallida.	-0.010081
definitivo.	-0.010155
conocidas.	-0.010170
legislativa.	-0.010174
lamentable.	-0.010203
unívoca.	-0.010244
introducir.	-0.010251
fundamental.	-0.010267
prioridades.	-0.010270
fiestas.	-0.010292
valiosos.	-0.010297
anónimo.	-0.010307
Peltier.	-0.010307
ambiciosos.	-0.010310
propuesto.	-0.010318
diciendo.	-0.010331
inquietud.	-0.010340
reconoce.	-0.010344
relieve.	-0.010346
intelectual.	-0.010351
descrito.	-0.010351
negociación.	-0.010364
invitados.	-0.010383
costar.	-0.010392
documento.	-0.010406
Cataluña.	-0.010455
intentos.	-0.010456
nepalí.	-0.010461
protegida.	-0.010496
restantes.	-0.010506
